"stimulus","Id_flow","lizard_id","clutch","sex","temp","cort","age_trial","age_euthanasia","trial","prey","t_D","motivation","region","mean_mitodensity","mean_potential","mean_ros","mean_size","mean_dnadamage","mean_peroxidation","mean_conpotential","mean_conros"
"Chemical",29,1992,"CL538_22","Female","Cold","CORT",0.0306506664003467,-0.0050371626006738,4,"Unknown",0.182414851882939,1,"OB",-0.210375880447923,-0.141732803683093,-0.24177153963775,-0.146598341379222,-0.690108501285983,-0.537710544080577,-0.00887816359012979,-0.202616188983834
"Chemical",3,2253,"CL606_22","Female","Cold","Control",-0.296289775203351,-0.367712869849187,2,"Familiar",0.608298864287787,0,"OB",0.000756842850434533,-0.28940144137296,-0.116153522523126,-0.178731732012677,0.135398677677233,-0.696649847332004,-0.496491356560297,-0.234528229695986
"Chemical",3,2253,"CL606_22","Female","Cold","Control",-0.296289775203351,-0.367712869849187,4,"Unknown",1.16279302737415,1,"OB",0.000756842850434533,-0.28940144137296,-0.116153522523126,-0.178731732012677,0.135398677677233,-0.696649847332004,-0.496491356560297,-0.234528229695986
"Chemical",30,2245,"CL604_22","Female","Hot","Control",0.0306506664003467,-0.0050371626006738,2,"Unknown",0.122828409079931,1,"OB",-0.358920684352894,-0.36350082022754,-0.639846555689812,-0.444788087270768,-0.388648428627698,-0.617520220452749,-0.29375192422133,-0.96284179314342
"Chemical",30,2245,"CL604_22","Female","Hot","Control",0.0306506664003467,-0.0050371626006738,4,"Familiar",0.0788636315979448,1,"OB",-0.358920684352894,-0.36350082022754,-0.639846555689812,-0.444788087270768,-0.388648428627698,-0.617520220452749,-0.29375192422133,-0.96284179314342
"Chemical",31,1273,"CL339_22","Female","Hot","CORT",1.35884621041537,1.30462511357451,1,"Unknown",0.380760307340204,1,"OB",0.178073105122562,0.15735249280374,0.160483792192147,-0.24595297874411,-0.365224232605046,-0.660896934195394,0.148414579894696,0.124675039038436
"Chemical",31,1273,"CL339_22","Female","Hot","CORT",1.35884621041537,1.30462511357451,4,"Familiar",0.991220374480131,1,"OB",0.178073105122562,0.15735249280374,0.160483792192147,-0.24595297874411,-0.365224232605046,-0.660896934195394,0.148414579894696,0.124675039038436
"Chemical",32,2352,"CL634_23","Female","Cold","CORT",-0.439326218404969,-0.468456121862663,3,"Unknown",0.330603671793662,1,"OB",-0.45664363158489,-0.327168547100722,-0.488592554616042,-0.40408048920266,-0.744432550566135,-0.841547486130466,-0.115625598491668,-0.421438511308513
"Chemical",32,2352,"CL634_23","Female","Cold","CORT",-0.439326218404969,-0.468456121862663,4,"Familiar",0.0247166984245524,1,"OB",-0.45664363158489,-0.327168547100722,-0.488592554616042,-0.40408048920266,-0.744432550566135,-0.841547486130466,-0.115625598491668,-0.421438511308513
"Chemical",33,2178,"CL588_22","Female","Cold","CORT",-0.255422220002889,-0.266969617835711,1,"Unknown",0.00874759511734351,1,"OB",0.112430577739948,0.0453946730738404,0.047059414602465,-0.726553663164616,-0.88979733361499,-0.742854546290984,0.0123358099190104,-0.0301284035818162
"Chemical",33,2178,"CL588_22","Female","Cold","CORT",-0.255422220002889,-0.266969617835711,2,"Familiar",-0.287515220732345,1,"OB",0.112430577739948,0.0453946730738404,0.047059414602465,-0.726553663164616,-0.88979733361499,-0.742854546290984,0.0123358099190104,-0.0301284035818162
"Chemical",34,2004,"CL543_22","Male","Cold","Control",-0.0102168888001156,-0.025185813003369,2,"Unknown",-1.0689359897833,1,"OB",-0.299627084009946,-0.32801883468622,-0.190082949436485,-0.0703734885515657,-0.58516682462209,-0.697113347147972,-0.283237034664919,0.0735808442608213
"Chemical",34,2004,"CL543_22","Male","Cold","Control",-0.0102168888001156,-0.025185813003369,4,"Familiar",0.713219152025507,1,"OB",-0.299627084009946,-0.32801883468622,-0.190082949436485,-0.0703734885515657,-0.58516682462209,-0.697113347147972,-0.283237034664919,0.0735808442608213
"Chemical",35,2266,"CL609_22","Female","Hot","Control",0.0715182216008089,0.0554087886074118,1,"Familiar",0.493648873279491,1,"OB",0.401648037971013,0.182980680215328,0.331411368699688,-0.100077934752125,-0.598025483845308,-0.506326317836217,-0.0223363653531333,0.159832854682368
"Chemical",35,2266,"CL609_22","Female","Hot","Control",0.0715182216008089,0.0554087886074118,4,"Unknown",0.363338896935218,1,"OB",0.401648037971013,0.182980680215328,0.331411368699688,-0.100077934752125,-0.598025483845308,-0.506326317836217,-0.0223363653531333,0.159832854682368
"Chemical",36,2458,"CL669_23","Male","Hot","CORT",-0.357591108004044,-0.367712869849187,2,"Unknown",-0.10618913858067,1,"OB",0.570760168914267,0.35815585148834,0.612720421289295,0.129750708388453,-0.400450659136537,-0.280296736915655,0.115443313449072,0.498845727132305
"Chemical",36,2458,"CL669_23","Male","Hot","CORT",-0.357591108004044,-0.367712869849187,3,"Familiar",-0.063559951207383,1,"OB",0.570760168914267,0.35815585148834,0.612720421289295,0.129750708388453,-0.400450659136537,-0.280296736915655,0.115443313449072,0.498845727132305
