plate,Id_flow,region,tube_no,n_sampled_cells,mean_autofluo,mean_mitodensity,mean_nucl,mean_size,mean_potential,mean_ros,mean_complexity
5,54,OB,2,695,2.870979335,3.921496774,2.716648628,3.914676015,3.72671419,4.227806363,3.807689842
5,55,OB,1,1013,3.115247791,4.122055276,2.713576186,4.244050969,3.847162483,4.403256986,4.073266494
5,55,OB,2,1888,3.126280747,2.131402579,2.730659816,3.931466464,2.254338959,2.674550848,3.719780072
5,56,OB,1,1439,2.891972711,3.867605777,2.666270358,4.276154098,3.884370496,4.086955079,4.058611382
5,56,OB,2,1200,2.906362762,3.916260508,2.658733458,4.235226749,3.897611496,4.185711387,4.00643517
6,57,OB,1,619,3.215699104,2.139919091,2.689390984,4.224234167,2.251046528,2.709412404,4.007762297
6,57,OB,2,490,3.384556635,2.568279358,2.596995644,4.274826542,2.64145125,3.101947655,4.09383333
6,58,OB,1,3302,2.860404711,2.309811018,2.601434709,3.779128858,2.376781194,2.692238327,3.564222748
6,58,OB,2,7333,2.726110724,2.338000144,2.614904675,3.58642651,2.419881929,2.665062215,3.383161129
6,59,OB,1,574,3.439798179,1.958348952,2.600108084,4.331004285,2.174568607,2.636855775,4.167085562
6,59,OB,2,2523,2.991063676,1.606672332,2.651860903,3.80616601,1.92740378,2.253416294,3.612431261
6,60,OB,1,420,3.066651773,4.265477878,2.579230098,4.250450127,3.907961331,4.577697903,4.124313207
6,60,OB,2,2234,2.866192534,2.061675966,2.610791849,3.786311041,2.191364478,2.608068483,3.562687037
6,61,OB,1,579,3.379770812,2.213489613,2.569850786,4.320482051,2.379396533,2.966821434,4.154867081
6,61,OB,2,335,3.348925334,2.468966094,2.569130128,4.297232352,2.664515357,3.096424009,4.093105879
6,62,OB,1,593,3.540316152,1.991942817,2.699022962,4.434952626,2.266040686,2.761043393,4.221771432
6,62,OB,2,507,2.8178339,3.658963939,2.732260095,4.011190535,3.494345226,4.092026726,3.836197894
6,63,OB,1,1553,2.525080319,3.497477666,2.628946015,3.74891337,3.25304252,3.898518118,3.609696594
6,63,OB,2,745,3.317953796,2.4864586,2.547582548,4.196275175,2.616160129,3.002105091,3.974036233
6,64,OB,1,1602,3.08895603,2.263138165,2.614622383,3.938869098,2.503183779,2.626686493,3.747631271
6,64,OB,2,326,3.164577783,4.122620386,2.609146896,4.377005437,3.920303956,4.605365608,4.236654326
6,65,OB,1,3088,2.896915643,3.665561154,2.608374929,3.830362796,3.170173297,3.583738305,3.638899426
6,65,OB,2,1271,2.680817191,3.493064901,2.629351388,3.751615397,3.387186694,4.06755542,3.630696225
